基金代码,拼音缩写,基金简称,基金类型,拼音全称,status,last_updated
009387,JSWFHHA,嘉实稳福混合A,混合型-偏债,JIASHIWENFUHUNHEA,unknown,
009388,JSWFHHC,嘉实稳福混合C,混合型-偏债,JIASHIWENFUHUNHEC,unknown,
009391,HTFYZCZHHA,汇添富优质成长混合A,混合型-偏股,HUITIANFUYOUZHICHENGZHANGHUNHEA,unknown,
009392,HTFYZCZHHC,汇添富优质成长混合C,混合型-偏股,HUITIANFUYOUZHICHENGZHANGHUNHEC,unknown,
009393,JSXJBHBE,嘉实现金宝货币E,货币型-普通货币,JIASHIXIANJINBAOHUOBIE,unknown,
009394,YHTLJXHH,银华同力精选混合,混合型-偏股,YINHUATONGLIJINGXUANHUNHE,unknown,
009395,XYAXHBHHA,鑫元安鑫回报混合A,混合型-偏债,XINYUANANXINHUIBAOHUNHEA,unknown,
009396,DCACZQA,大成安诚债券A,债券型-长债,DACHENGANCHENGZHAIQUANA,unknown,
009397,DCACZQC,大成安诚债券C,债券型-长债,DACHENGANCHENGZHAIQUANC,unknown,
009398,HFCZQYJXGPA,华富成长企业精选股票A,股票型,HUAFUCHENGZHANGQIYEJINGXUANGUPIAOA,unknown,
009399,GXGZXAJSFZSNDKZ,国新国证雄安建设发展三年定开债,债券型-长债,GUOXINGUOZHENGXIONGANJIANSHEFAZHANSANNIANDINGKAIZHAI,unknown,
009400,HATR6GYHHA,华安添瑞6个月混合A,混合型-偏债,HUAANTIANRUI6GEYUEHUNHEA,unknown,
009401,HATR6GYHHC,华安添瑞6个月混合C,混合型-偏债,HUAANTIANRUI6GEYUEHUNHEC,unknown,
009402,JYQMHHA,交银启明混合A,混合型-偏股,JIAOYINQIMINGHUNHEA,unknown,
009403,PAHYCZC,平安惠盈纯债C,债券型-长债,PINGANHUIYINGCHUNZHAIC,unknown,
009404,PAHXCZC,平安惠享纯债C,债券型-混合一级,PINGANHUIXIANGCHUNZHAIC,unknown,
009405,PAHLCZC,平安惠隆纯债C,债券型-长债,PINGANHUILONGCHUNZHAIC,unknown,
009406,PAGDJZC,平安高等级债C,债券型-混合一级,PINGANGAODENGJIZHAIC,unknown,
009407,GLHYCZA,格林泓远纯债A,债券型-长债,GELINHONGYUANCHUNZHAIA,unknown,
009408,GLHYCZC,格林泓远纯债C,债券型-长债,GELINHONGYUANCHUNZHAIC,unknown,
009411,ZYKJCXYNDKHH,中银科技创新一年定开混合,混合型-偏股,ZHONGYINKEJICHUANGXINYINIANDINGKAIHUNHE,unknown,
009412,YFDZYYNCYQHHA,易方达招易一年持有期混合A,混合型-偏债,YIFANGDAZHAOYIYINIANCHIYOUQIHUNHEA,unknown,
009413,YFDZYYNCYQHHC,易方达招易一年持有期混合C,混合型-偏债,YIFANGDAZHAOYIYINIANCHIYOUQIHUNHEC,unknown,
009414,ZYDJKGPA,中银大健康股票A,股票型,ZHONGYINDAJIANKANGGUPIAOA,unknown,
009415,ZYRXLNDKHHA,中邮瑞享两年定开混合A,混合型-偏债,ZHONGYOURUIXIANGLIANGNIANDINGKAIHUNHEA,unknown,
009416,ZYRXLNDKHHC,中邮瑞享两年定开混合C,混合型-偏债,ZHONGYOURUIXIANGLIANGNIANDINGKAIHUNHEC,unknown,
009417,GTRYSRDKZQA,国投瑞银顺荣定开债券A,债券型-长债,GUOTOURUIYINSHUNRONGDINGKAIZHAIQUANA,unknown,
009418,GTRYSRDKZQC,国投瑞银顺荣定开债券C,债券型-长债,GUOTOURUIYINSHUNRONGDINGKAIZHAIQUANC,unknown,
009419,BYXMYNDKHHA,宝盈祥明一年定开混合A,混合型-偏债,BAOYINGXIANGMINGYINIANDINGKAIHUNHEA,unknown,
009420,BYXMYNDKHHC,宝盈祥明一年定开混合C,混合型-偏债,BAOYINGXIANGMINGYINIANDINGKAIHUNHEC,unknown,
009421,GYPBGKZ13NZSA,工银彭博国开债1-3年指数A,指数型-固收,GONGYINPENGBOGUOKAIZHAI13NIANZHISHUA,unknown,
009422,GYPBGKZ13NZSC,工银彭博国开债1-3年指数C,指数型-固收,GONGYINPENGBOGUOKAIZHAI13NIANZHISHUC,unknown,
009423,ZSRXWJPZHHA,招商瑞信稳健配置混合A,混合型-偏债,ZHAOSHANGRUIXINWENJIANPEIZHIHUNHEA,unknown,
009424,ZSRXWJPZHHC,招商瑞信稳健配置混合C,混合型-偏债,ZHAOSHANGRUIXINWENJIANPEIZHIHUNHEC,unknown,
009425,JXMALNZQ,金信民安两年债券,债券型-长债,JINXINMINANLIANGNIANZHAIQUAN,unknown,
009426,PYJHLGYCYQHHA,鹏扬景惠六个月持有期混合A,混合型-偏债,PENGYANGJINGHUILIUGEYUECHIYOUQIHUNHEA,unknown,
009427,PYJHLGYCYQHHC,鹏扬景惠六个月持有期混合C,混合型-偏债,PENGYANGJINGHUILIUGEYUECHIYOUQIHUNHEC,unknown,
009428,PYJFLGYCYQHHA,鹏扬景沣六个月持有期混合A,混合型-偏债,PENGYANGJINGFENGLIUGEYUECHIYOUQIHUNHEA,unknown,
009429,PYJFLGYCYQHHC,鹏扬景沣六个月持有期混合C,混合型-偏债,PENGYANGJINGFENGLIUGEYUECHIYOUQIHUNHEC,unknown,
009432,DBKJCXYNDKHHA,德邦科技创新一年定开混合A,混合型-偏股,DEBANGKEJICHUANGXINYINIANDINGKAIHUNHEA,unknown,
009433,DBKJCXYNDKHHC,德邦科技创新一年定开混合C,混合型-偏股,DEBANGKEJICHUANGXINYINIANDINGKAIHUNHEC,unknown,
009437,XAKJCXYNDKHHA,信澳科技创新一年定开混合A,混合型-偏股,XINAOKEJICHUANGXINYINIANDINGKAIHUNHEA,unknown,
009438,XAKJCXYNDKHHC,信澳科技创新一年定开混合C,混合型-偏股,XINAOKEJICHUANGXINYINIANDINGKAIHUNHEC,unknown,
