基金代码,拼音缩写,基金简称,基金类型,拼音全称,status,last_updated
021297,PHGZYSJSHYETFFQSLJC,鹏华国证有色金属行业ETF发起式联接C,指数型-股票,PENGHUAGUOZHENGYOUSEJINSHUHANGYEETFFAQISHILIANJIEC,unknown,
021298,ZOBZ50CFZSFQA,中欧北证50成份指数发起A,指数型-股票,ZHONGOUBEIZHENG50CHENGFENZHISHUFAQIA,unknown,
021299,ZOBZ50CFZSFQC,中欧北证50成份指数发起C,指数型-股票,ZHONGOUBEIZHENG50CHENGFENZHISHUFAQIC,unknown,
021300,NDZZTYCDAAAZS7TCYQ,诺德中证同业存单AAA指数7天持有期,指数型-固收,NUODEZHONGZHENGTONGYECUNDANAAAZHISHU7TIANCHIYOUQI,unknown,
021301,YHZZJQRZSFQSA,银河中证机器人指数发起式A,指数型-股票,YINHEZHONGZHENGJIQIRENZHISHUFAQISHIA,unknown,
021302,YHZZJQRZSFQSC,银河中证机器人指数发起式C,指数型-股票,YINHEZHONGZHENGJIQIRENZHISHUFAQISHIC,unknown,
021303,DFZZLSPHZTJRZQYXZSA,东方中债绿色普惠主题金融债券优选指数A,指数型-固收,DONGFANGZHONGZHAILVSEPUHUIZHUTIJINRONGZHAIQUANYOUXUANZHISHUA,unknown,
021304,DFZZLSPHZTJRZQYXZSC,东方中债绿色普惠主题金融债券优选指数C,指数型-固收,DONGFANGZHONGZHAILVSEPUHUIZHUTIJINRONGZHAIQUANYOUXUANZHISHUC,unknown,
021305,ZOPZJXHHA,中欧品质精选混合A,混合型-偏股,ZHONGOUPINZHIJINGXUANHUNHEA,unknown,
021306,ZOPZJXHHC,中欧品质精选混合C,混合型-偏股,ZHONGOUPINZHIJINGXUANHUNHEC,unknown,
021307,YYHTDZE,永赢宏泰短债E,债券型-中短债,YONGYINGHONGTAIDUANZHAIE,unknown,
021308,PHCXYYHHA,鹏华创新医药混合A,混合型-偏股,PENGHUACHUANGXINYIYAOHUNHEA,unknown,
021309,PHCXYYHHC,鹏华创新医药混合C,混合型-偏股,PENGHUACHUANGXINYIYAOHUNHEC,unknown,
021310,CXWYCZZQC,长信稳益纯债债券C,债券型-长债,CHANGXINWENYICHUNZHAIZHAIQUANC,unknown,
021311,CXCZYHZQE,长信纯债壹号债券E,债券型-长债,CHANGXINCHUNZHAIYIHAOZHAIQUANE,unknown,
021312,HBAXHHC,华宝安享混合C,混合型-偏债,HUABAOANXIANGHUNHEC,unknown,
021313,JSCCHGSJXGPC,景顺长城沪港深精选股票C,股票型,JINGSHUNCHANGCHENGHUGANGSHENJINGXUANGUPIAOC,unknown,
021314,BSZZXXJSYYCXCYZSFQSA,博时中证信息技术应用创新产业指数发起式A,指数型-股票,BOSHIZHONGZHENGXINXIJISHUYINGYONGCHUANGXINCHANYEZHISHUFAQISHIA,unknown,
021315,BSZZXXJSYYCXCYZSFQSC,博时中证信息技术应用创新产业指数发起式C,指数型-股票,BOSHIZHONGZHENGXINXIJISHUYINGYONGCHUANGXINCHANYEZHISHUFAQISHIC,unknown,
021316,MSJYZXCZGPA,民生加银智选成长股票A,股票型,MINSHENGJIAYINZHIXUANCHENGZHANGGUPIAOA,unknown,
021317,MSJYZXCZGPC,民生加银智选成长股票C,股票型,MINSHENGJIAYINZHIXUANCHENGZHANGGUPIAOC,unknown,
021320,HFHHCZZQA,华富恒惠纯债债券A,债券型-长债,HUAFUHENGHUICHUNZHAIZHAIQUANA,unknown,
021321,HFHHCZZQC,华富恒惠纯债债券C,债券型-长债,HUAFUHENGHUICHUNZHAIZHAIQUANC,unknown,
021322,BJBXCZZQC,百嘉百兴纯债债券C,债券型-长债,BAIJIABAIXINGCHUNZHAIZHAIQUANC,unknown,
021323,BDHYDYWJ30TCYQZQA,博道和裕多元稳健30天持有期债券A,债券型-混合二级,BODAOHEYUDUOYUANWENJIAN30TIANCHIYOUQIZHAIQUANA,unknown,
021324,BDHYDYWJ30TCYQZQC,博道和裕多元稳健30天持有期债券C,债券型-混合二级,BODAOHEYUDUOYUANWENJIAN30TIANCHIYOUQIZHAIQUANC,unknown,
021325,YFDZZ15NZJZZSA,易方达中债1-5年政金债指数A,指数型-固收,YIFANGDAZHONGZHAI15NIANZHENGJINZHAIZHISHUA,unknown,
021326,YFDZZ15NZJZZSC,易方达中债1-5年政金债指数C,指数型-固收,YIFANGDAZHONGZHAI15NIANZHENGJINZHAIZHISHUC,unknown,
021327,FGZZXFJXSBCYZTETFFQSLJA,富国中证细分机械设备产业主题ETF发起式联接A,指数型-股票,FUGUOZHONGZHENGXIFENJIXIESHEBEICHANYEZHUTIETFFAQISHILIANJIEA,unknown,
021328,FGZZXFJXSBCYZTETFFQSLJC,富国中证细分机械设备产业主题ETF发起式联接C,指数型-股票,FUGUOZHONGZHENGXIFENJIXIESHEBEICHANYEZHUTIETFFAQISHILIANJIEC,unknown,
021329,FGSZKCB100ETFFQSLJA,富国上证科创板100ETF发起式联接A,指数型-股票,FUGUOSHANGZHENGKECHUANGBAN100ETFFAQISHILIANJIEA,unknown,
021330,FGSZKCB100ETFFQSLJC,富国上证科创板100ETF发起式联接C,指数型-股票,FUGUOSHANGZHENGKECHUANGBAN100ETFFAQISHILIANJIEC,unknown,
021331,ZJJXZQC,中金金信债券C,债券型-长债,ZHONGJINJINXINZHAIQUANC,unknown,
021332,AX60TGDCYZQA,安信60天滚动持有债券A,债券型-长债,ANXIN60TIANGUNDONGCHIYOUZHAIQUANA,unknown,
021333,XAGQZXHHA,信澳国企智选混合A,混合型-偏股,XINAOGUOQIZHIXUANHUNHEA,unknown,
021334,XAGQZXHHC,信澳国企智选混合C,混合型-偏股,XINAOGUOQIZHIXUANHUNHEC,unknown,
021335,GLLLZA,国联利率债A,债券型-长债,GUOLIANLILVZHAIA,unknown,
021336,GLLLZC,国联利率债C,债券型-长债,GUOLIANLILVZHAIC,unknown,
021337,GLHTCZB,国联恒泰纯债B,债券型-混合一级,GUOLIANHENGTAICHUNZHAIB,unknown,
021338,ZXBC60TCYZQA,中信保诚60天持有债券A,债券型-长债,ZHONGXINBAOCHENG60TIANCHIYOUZHAIQUANA,unknown,
021339,ZXBC60TCYZQC,中信保诚60天持有债券C,债券型-长债,ZHONGXINBAOCHENG60TIANCHIYOUZHAIQUANC,unknown,
021340,HB02NZJZZSA,华宝0-2年政金债指数A,指数型-固收,HUABAO02NIANZHENGJINZHAIZHISHUA,unknown,
021341,HB02NZJZZSC,华宝0-2年政金债指数C,指数型-固收,HUABAO02NIANZHENGJINZHAIZHISHUC,unknown,
021342,JXXC90TCYQZQA,建信鑫诚90天持有期债券A,债券型-长债,JIANXINXINCHENG90TIANCHIYOUQIZHAIQUANA,unknown,
021343,JXXC90TCYQZQC,建信鑫诚90天持有期债券C,债券型-长债,JIANXINXINCHENG90TIANCHIYOUQIZHAIQUANC,unknown,
021344,DCXPE,东财芯片E,指数型-股票,DONGCAIXINPIANE,unknown,
021345,YYHXZQA,永赢汇享债券A,债券型-混合二级,YONGYINGHUIXIANGZHAIQUANA,unknown,
021346,YYHXZQC,永赢汇享债券C,债券型-混合二级,YONGYINGHUIXIANGZHAIQUANC,unknown,
021347,AX60TGDCYZQC,安信60天滚动持有债券C,债券型-长债,ANXIN60TIANGUNDONGCHIYOUZHAIQUANC,unknown,
021348,JSZZLSPHZTJRZQYXZSA,嘉实中债绿色普惠主题金融债券优选指数A,指数型-固收,JIASHIZHONGZHAILVSEPUHUIZHUTIJINRONGZHAIQUANYOUXUANZHISHUA,unknown,
021349,JSZZLSPHZTJRZQYXZSC,嘉实中债绿色普惠主题金融债券优选指数C,指数型-固收,JIASHIZHONGZHAILVSEPUHUIZHUTIJINRONGZHAIQUANYOUXUANZHISHUC,unknown,
021350,XYWL30TCYQZQA,兴业稳利30天持有期债券A,债券型-长债,XINGYEWENLI30TIANCHIYOUQIZHAIQUANA,unknown,
021351,XYWL30TCYQZQC,兴业稳利30天持有期债券C,债券型-长债,XINGYEWENLI30TIANCHIYOUQIZHAIQUANC,unknown,
021352,BSFHCZZQC,博时富华纯债债券C,债券型-长债,BOSHIFUHUACHUNZHAIZHAIQUANC,unknown,
021353,ZXBCZZ03NZJZZSA,中信保诚中债0-3年政金债指数A,指数型-固收,ZHONGXINBAOCHENGZHONGZHAI03NIANZHENGJINZHAIZHISHUA,unknown,
021354,ZXBCZZ03NZJZZSC,中信保诚中债0-3年政金债指数C,指数型-固收,ZHONGXINBAOCHENGZHONGZHAI03NIANZHENGJINZHAIZHISHUC,unknown,
021355,HTFZQSYZQD,汇添富增强收益债券D,债券型-混合一级,HUITIANFUZENGQIANGSHOUYIZHAIQUAND,unknown,
021356,XAXMBLHPZHHC,信澳新目标灵活配置混合C,混合型-灵活,XINAOXINMUBIAOLINGHUOPEIZHIHUNHEC,unknown,
021358,DCHLWE,东财互联网E,指数型-股票,DONGCAIHULIANWANGE,unknown,
021359,DCZZA50ETFLJE,大成中证A50ETF联接E,指数型-股票,DACHENGZHONGZHENGA50ETFLIANJIEE,unknown,
021360,GTRYHXZQA,国投瑞银和兴债券A,债券型-混合二级,GUOTOURUIYINHEXINGZHAIQUANA,unknown,
021361,GTRYHXZQC,国投瑞银和兴债券C,债券型-混合二级,GUOTOURUIYINHEXINGZHAIQUANC,unknown,
021362,YFDZZHSGHJCYGPZSFQSA,易方达中证沪深港黄金产业股票指数发起式A,指数型-股票,YIFANGDAZHONGZHENGHUSHENGANGHUANGJINCHANYEGUPIAOZHISHUFAQISHIA,unknown,
021363,YFDZZHSGHJCYGPZSFQSC,易方达中证沪深港黄金产业股票指数发起式C,指数型-股票,YIFANGDAZHONGZHENGHUSHENGANGHUANGJINCHANYEGUPIAOZHISHUFAQISHIC,unknown,
021364,BHHJXDNZTHHC,渤海汇金新动能主题混合C,混合型-偏股,BOHAIHUIJINXINDONGNENGZHUTIHUNHEC,unknown,
021365,HXZZQZKXXFETFFQSLJA,华夏中证全指可选消费ETF发起式联接A,指数型-股票,HUAXIAZHONGZHENGQUANZHIKEXUANXIAOFEIETFFAQISHILIANJIEA,unknown,
021366,HXZZQZKXXFETFFQSLJC,华夏中证全指可选消费ETF发起式联接C,指数型-股票,HUAXIAZHONGZHENGQUANZHIKEXUANXIAOFEIETFFAQISHILIANJIEC,unknown,
021367,HXCYBZHETFFQSLJA,华夏创业板综合ETF发起式联接A,指数型-股票,HUAXIACHUANGYEBANZONGHEETFFAQISHILIANJIEA,unknown,
021368,HXCYBZHETFFQSLJC,华夏创业板综合ETF发起式联接C,指数型-股票,HUAXIACHUANGYEBANZONGHEETFFAQISHILIANJIEC,unknown,
021369,HXZSYXHHFQSA,华夏智胜优选混合发起式A,混合型-偏股,HUAXIAZHISHENGYOUXUANHUNHEFAQISHIA,unknown,
021370,HXZSYXHHFQSC,华夏智胜优选混合发起式C,混合型-偏股,HUAXIAZHISHENGYOUXUANHUNHEFAQISHIC,unknown,
021371,HB13NGKZZSC,华宝1-3年国开债指数C,指数型-固收,HUABAO13NIANGUOKAIZHAIZHISHUC,unknown,
021372,THJZQDHHA,天弘价值驱动混合A,混合型-偏股,TIANHONGJIAZHIQUDONGHUNHEA,unknown,
021373,THJZQDHHC,天弘价值驱动混合C,混合型-偏股,TIANHONGJIAZHIQUDONGHUNHEC,unknown,
021374,CJHXHXZDZZQD,创金合信恒兴中短债债券D,债券型-中短债,CHUANGJINHEXINHENGXINGZHONGDUANZHAIZHAIQUAND,unknown,
021375,ZOZZHLDBD100ZSFQA,中欧中证红利低波动100指数发起A,指数型-股票,ZHONGOUZHONGZHENGHONGLIDIBODONG100ZHISHUFAQIA,unknown,
021376,ZOZZHLDBD100ZSFQC,中欧中证红利低波动100指数发起C,指数型-股票,ZHONGOUZHONGZHENGHONGLIDIBODONG100ZHISHUFAQIC,unknown,
021377,XYZZGGTHLWZSFQSA,兴业中证港股通互联网指数发起式A,指数型-股票,XINGYEZHONGZHENGGANGGUTONGHULIANWANGZHISHUFAQISHIA,unknown,
021378,XYZZGGTHLWZSFQSC,兴业中证港股通互联网指数发起式C,指数型-股票,XINGYEZHONGZHENGGANGGUTONGHULIANWANGZHISHUFAQISHIC,unknown,
021379,CJHXHLCDZZQD,创金合信恒利超短债债券D,债券型-中短债,CHUANGJINHEXINHENGLICHAODUANZHAIZHAIQUAND,unknown,
021380,CJHXJAY3GYCYQZQE,创金合信季安盈3个月持有期债券E,债券型-混合一级,CHUANGJINHEXINJIANYING3GEYUECHIYOUQIZHAIQUANE,unknown,
021381,HBLHDCHHD,华宝量化对冲混合D,混合型-绝对收益,HUABAOLIANGHUADUICHONGHUNHED,unknown,
021382,BSKJQDHHA,博时科技驱动混合A,混合型-偏股,BOSHIKEJIQUDONGHUNHEA,unknown,
021383,BSKJQDHHC,博时科技驱动混合C,混合型-偏股,BOSHIKEJIQUDONGHUNHEC,unknown,
021385,THSZKCB100ZSZQFQA,天弘上证科创板100指数增强发起A,指数型-股票,TIANHONGSHANGZHENGKECHUANGBAN100ZHISHUZENGQIANGFAQIA,unknown,
021386,THSZKCB100ZSZQFQC,天弘上证科创板100指数增强发起C,指数型-股票,TIANHONGSHANGZHENGKECHUANGBAN100ZHISHUZENGQIANGFAQIC,unknown,
021387,YYTLZQB,永赢泰利债券B,债券型-长债,YONGYINGTAILIZHAIQUANB,unknown,
021388,YHZZHLDBD100ZSA,银河中证红利低波动100指数A,指数型-股票,YINHEZHONGZHENGHONGLIDIBODONG100ZHISHUA,unknown,
021389,YHZZHLDBD100ZSC,银河中证红利低波动100指数C,指数型-股票,YINHEZHONGZHENGHONGLIDIBODONG100ZHISHUC,unknown,
021390,DXCZYXHHFQA,东兴成长优选混合发起A,混合型-偏股,DONGXINGCHENGZHANGYOUXUANHUNHEFAQIA,unknown,
021391,DXCZYXHHFQC,东兴成长优选混合发起C,混合型-偏股,DONGXINGCHENGZHANGYOUXUANHUNHEFAQIC,unknown,
021392,ZXJTZZ03NZJZZSA,中信建投中债0-3年政金债指数A,指数型-固收,ZHONGXINJIANTOUZHONGZHAI03NIANZHENGJINZHAIZHISHUA,unknown,
021393,ZXJTZZ03NZJZZSC,中信建投中债0-3年政金债指数C,指数型-固收,ZHONGXINJIANTOUZHONGZHAI03NIANZHENGJINZHAIZHISHUC,unknown,
021394,FRFXCZC,富荣富祥纯债C,债券型-长债,FURONGFUXIANGCHUNZHAIC,unknown,
021395,CJHXZFCZC,创金合信尊丰纯债C,债券型-混合一级,CHUANGJINHEXINZUNFENGCHUNZHAIC,unknown,
021396,CJHXZFCZD,创金合信尊丰纯债D,债券型-混合一级,CHUANGJINHEXINZUNFENGCHUNZHAID,unknown,
021397,GFZZYJSYDSJETFFQSLJA,广发中证云计算与大数据ETF发起式联接A,指数型-股票,GUANGFAZHONGZHENGYUNJISUANYUDASHUJUETFFAQISHILIANJIEA,unknown,
021398,GFZZYJSYDSJETFFQSLJC,广发中证云计算与大数据ETF发起式联接C,指数型-股票,GUANGFAZHONGZHENGYUNJISUANYUDASHUJUETFFAQISHILIANJIEC,unknown,
021399,GFZZHLETFFQSLJA,广发中证红利ETF发起式联接A,指数型-股票,GUANGFAZHONGZHENGHONGLIETFFAQISHILIANJIEA,unknown,
021400,GFZZHLETFFQSLJC,广发中证红利ETF发起式联接C,指数型-股票,GUANGFAZHONGZHENGHONGLIETFFAQISHILIANJIEC,unknown,
021401,JSWXCZZQE,嘉实稳祥纯债债券E,债券型-长债,JIASHIWENXIANGCHUNZHAIZHAIQUANE,unknown,
021402,YHSJ6GYDQKFZQD,银华顺璟6个月定期开放债券D,债券型-长债,YINHUASHUNJING6GEYUEDINGQIKAIFANGZHAIQUAND,unknown,
021403,PHFSDQKFZQD,鹏华丰实定期开放债券D,债券型-混合一级,PENGHUAFENGSHIDINGQIKAIFANGZHAIQUAND,unknown,
021404,CJHZLHXGHHFQA,长江汇智量化选股混合发起A,混合型-偏股,CHANGJIANGHUIZHILIANGHUAXUANGUHUNHEFAQIA,unknown,
021405,CJHZLHXGHHFQC,长江汇智量化选股混合发起C,混合型-偏股,CHANGJIANGHUIZHILIANGHUAXUANGUHUNHEFAQIC,unknown,
021406,HXWLHBD,华夏沃利货币D,货币型-普通货币,HUAXIAWOLIHUOBID,unknown,
021407,DFHYFCZZQB,东方红益丰纯债债券B,债券型-长债,DONGFANGHONGYIFENGCHUNZHAIZHAIQUANB,unknown,
021408,XYTRZQC,兴业天融债券C,债券型-长债,XINGYETIANRONGZHAIQUANC,unknown,
021409,PAYL90TCYZQA,平安元利90天持有债券A,债券型-长债,PINGANYUANLI90TIANCHIYOUZHAIQUANA,unknown,
021410,PAYL90TCYZQC,平安元利90天持有债券C,债券型-长债,PINGANYUANLI90TIANCHIYOUZHAIQUANC,unknown,
021411,CSHBD,长盛货币D,货币型-普通货币,CHANGSHENGHUOBID,unknown,
021412,FGHLCZZQXFQSD,富国泓利纯债债券型发起式D,债券型-长债,FUGUOHONGLICHUNZHAIZHAIQUANXINGFAQISHID,unknown,
021413,FGHLCZZQXFQSE,富国泓利纯债债券型发起式E,债券型-长债,FUGUOHONGLICHUNZHAIZHAIQUANXINGFAQISHIE,unknown,
021414,HXWJZL4GYZQE,华夏稳健增利4个月债券E,债券型-混合二级,HUAXIAWENJIANZENGLI4GEYUEZHAIQUANE,unknown,
021415,TKHLDBETFLJA,泰康红利低波ETF联接A,指数型-股票,TAIKANGHONGLIDIBOETFLIANJIEA,unknown,
021416,GFZZLSPHJRZQZSA,国富中债绿色普惠金融债券指数A,指数型-固收,GUOFUZHONGZHAILVSEPUHUIJINRONGZHAIQUANZHISHUA,unknown,
021417,GFZZLSPHJRZQZSC,国富中债绿色普惠金融债券指数C,指数型-固收,GUOFUZHONGZHAILVSEPUHUIJINRONGZHAIQUANZHISHUC,unknown,
021418,TKHLDBETFLJC,泰康红利低波ETF联接C,指数型-股票,TAIKANGHONGLIDIBOETFLIANJIEC,unknown,
021419,GFHZYNDQKFZQD,广发汇择一年定期开放债券D,债券型-长债,GUANGFAHUIZEYINIANDINGQIKAIFANGZHAIQUAND,unknown,
021420,GFGZXCETFFQSLJA,广发国证信创ETF发起式联接A,指数型-股票,GUANGFAGUOZHENGXINCHUANGETFFAQISHILIANJIEA,unknown,
021421,GFGZXCETFFQSLJC,广发国证信创ETF发起式联接C,指数型-股票,GUANGFAGUOZHENGXINCHUANGETFFAQISHILIANJIEC,unknown,
021422,GYZXDZZQD,工银尊享短债债券D,债券型-中短债,GONGYINZUNXIANGDUANZHAIZHAIQUAND,unknown,
021423,YFDYFWJZQA,易方达悦丰稳健债券A,债券型-混合二级,YIFANGDAYUEFENGWENJIANZHAIQUANA,unknown,
021424,YFDYFWJZQC,易方达悦丰稳健债券C,债券型-混合二级,YIFANGDAYUEFENGWENJIANZHAIQUANC,unknown,
021425,CCYYX30TCYZQA,长城月月鑫30天持有债券A,债券型-长债,CHANGCHENGYUEYUEXIN30TIANCHIYOUZHAIQUANA,unknown,
021426,CCYYX30TCYZQC,长城月月鑫30天持有债券C,债券型-长债,CHANGCHENGYUEYUEXIN30TIANCHIYOUZHAIQUANC,unknown,
021427,GTYZJXHHA,国泰优质精选混合A,混合型-偏股,GUOTAIYOUZHIJINGXUANHUNHEA,unknown,
021428,GTYZJXHHC,国泰优质精选混合C,混合型-偏股,GUOTAIYOUZHIJINGXUANHUNHEC,unknown,
021429,ZTAHZQA,中泰安弘债券A,债券型-长债,ZHONGTAIANHONGZHAIQUANA,unknown,
021430,FGTZJXYZZQXE,富国投资级信用债债券型E,债券型-长债,FUGUOTOUZIJIXINYONGZHAIZHAIQUANXINGE,unknown,
021431,JSCCJRCZHHA,景顺长城精锐成长混合A,混合型-偏股,JINGSHUNCHANGCHENGJINGRUICHENGZHANGHUNHEA,unknown,
021432,JSCCJRCZHHC,景顺长城精锐成长混合C,混合型-偏股,JINGSHUNCHANGCHENGJINGRUICHENGZHANGHUNHEC,unknown,
021433,RTZQD,融通债券D,债券型-长债,RONGTONGZHAIQUAND,unknown,
021434,RTTFZQLOFD,融通通福债券(LOF)D,债券型-混合一级,RONGTONGTONGFUZHAIQUANLOFD,unknown,
021435,BSJJX90TGDCYZQA,博时季季兴90天滚动持有债券A,债券型-长债,BOSHIJIJIXING90TIANGUNDONGCHIYOUZHAIQUANA,unknown,
021436,BSJJX90TGDCYZQC,博时季季兴90天滚动持有债券C,债券型-长债,BOSHIJIJIXING90TIANGUNDONGCHIYOUZHAIQUANC,unknown,
021437,XYXXWJYLMBYNCYPZHHFOFY,鑫元鑫选稳健养老目标一年持有偏债混合(FOF)Y,FOF-稳健型,XINYUANXINXUANWENJIANYANGLAOMUBIAOYINIANCHIYOUPIANZHAIHUNHEFOFY,unknown,
021438,XYYHZQC,兴业裕恒债券C,债券型-长债,XINGYEYUHENGZHAIQUANC,unknown,
021439,AX30TGDCYZQA,安信30天滚动持有债券A,债券型-长债,ANXIN30TIANGUNDONGCHIYOUZHAIQUANA,unknown,
021440,AX30TGDCYZQC,安信30天滚动持有债券C,债券型-长债,ANXIN30TIANGUNDONGCHIYOUZHAIQUANC,unknown,
021441,SWLXATTYCZZQA,申万菱信安泰添益纯债债券A,债券型-长债,SHENWANLINGXINANTAITIANYICHUNZHAIZHAIQUANA,unknown,
021442,SWLXATTYCZZQC,申万菱信安泰添益纯债债券C,债券型-长债,SHENWANLINGXINANTAITIANYICHUNZHAIZHAIQUANC,unknown,
021443,YYAY30TCYQZQA,永赢安怡30天持有期债券A,债券型-长债,YONGYINGANYI30TIANCHIYOUQIZHAIQUANA,unknown,
021444,YYAY30TCYQZQC,永赢安怡30天持有期债券C,债券型-长债,YONGYINGANYI30TIANCHIYOUQIZHAIQUANC,unknown,
021445,HAHFLLZ,华安鸿福利率债,债券型-长债,HUAANHONGFULILVZHAI,unknown,
021446,HTZJFRZQFQD,华泰紫金丰睿债券发起D,债券型-混合二级,HUATAIZIJINFENGRUIZHAIQUANFAQID,unknown,
021447,GYXJHBD,工银薪金货币D,货币型-普通货币,GONGYINXINJINHUOBID,unknown,
021448,HBCZCLHHC,华宝成长策略混合C,混合型-偏股,HUABAOCHENGZHANGCELUEHUNHEC,unknown,
021449,XYQFZQ,鑫元启丰债券,债券型-长债,XINYUANQIFENGZHAIQUAN,unknown,
021450,FGYLCYHHFQSA,富国医疗产业混合发起式A,混合型-偏股,FUGUOYILIAOCHANYEHUNHEFAQISHIA,unknown,
021451,FGYLCYHHFQSC,富国医疗产业混合发起式C,混合型-偏股,FUGUOYILIAOCHANYEHUNHEFAQISHIC,unknown,
021452,FGLSCZYNDKZQC,富国绿色纯债一年定开债券C,债券型-长债,FUGUOLVSECHUNZHAIYINIANDINGKAIZHAIQUANC,unknown,
021455,NYHLZXHHA,农银红利甄选混合A,混合型-偏股,NONGYINHONGLIZHENXUANHUNHEA,unknown,
021456,NYHLZXHHC,农银红利甄选混合C,混合型-偏股,NONGYINHONGLIZHENXUANHUNHEC,unknown,
021457,YFDHSHLDBETFLJA,易方达恒生红利低波ETF联接A,指数型-股票,YIFANGDAHENGSHENGHONGLIDIBOETFLIANJIEA,unknown,
021458,YFDHSHLDBETFLJC,易方达恒生红利低波ETF联接C,指数型-股票,YIFANGDAHENGSHENGHONGLIDIBOETFLIANJIEC,unknown,
021459,HAYRWJYX6GYCYHHFOFE,华安盈瑞稳健优选6个月持有混合(FOF)E,FOF-稳健型,HUAANYINGRUIWENJIANYOUXUAN6GEYUECHIYOUHUNHEFOFE,unknown,
021460,HTFZQSYZQE,汇添富增强收益债券E,债券型-混合一级,HUITIANFUZENGQIANGSHOUYIZHAIQUANE,unknown,
021461,GTRYZZZYZSLOFC,国投瑞银中证资源指数(LOF)C,指数型-股票,GUOTOURUIYINZHONGZHENGZIYUANZHISHULOFC,unknown,
021462,DCTLLLZA,达诚添利利率债A,债券型-长债,DACHENGTIANLILILVZHAIA,unknown,
021463,DCTLLLZC,达诚添利利率债C,债券型-长债,DACHENGTIANLILILVZHAIC,unknown,
021464,HFTZZGGTKJETFFQLJA,海富通中证港股通科技ETF发起联接A,指数型-股票,HAIFUTONGZHONGZHENGGANGGUTONGKEJIETFFAQILIANJIEA,unknown,
021465,HFTZZGGTKJETFFQLJC,海富通中证港股通科技ETF发起联接C,指数型-股票,HAIFUTONGZHONGZHENGGANGGUTONGKEJIETFFAQILIANJIEC,unknown,
021467,XHAXHJDQZQE,新华安享惠金定期债券E,债券型-混合一级,XINHUAANXIANGHUIJINDINGQIZHAIQUANE,unknown,
021468,SYHZLLZZQA,上银慧臻利率债债券A,债券型-长债,SHANGYINHUIZHENLILVZHAIZHAIQUANA,unknown,
021469,HAZZQZYLQXZSFQSA,华安中证全指医疗器械指数发起式A,指数型-股票,HUAANZHONGZHENGQUANZHIYILIAOQIXIEZHISHUFAQISHIA,unknown,
021470,HAZZQZYLQXZSFQSC,华安中证全指医疗器械指数发起式C,指数型-股票,HUAANZHONGZHENGQUANZHIYILIAOQIXIEZHISHUFAQISHIC,unknown,
021471,HXZZQZXXJSETFFQSLJA,华夏中证全指信息技术ETF发起式联接A,指数型-股票,HUAXIAZHONGZHENGQUANZHIXINXIJISHUETFFAQISHILIANJIEA,unknown,
021472,HXZZQZXXJSETFFQSLJC,华夏中证全指信息技术ETF发起式联接C,指数型-股票,HUAXIAZHONGZHENGQUANZHIXINXIJISHUETFFAQISHILIANJIEC,unknown,
021473,MGRYCZZQD,摩根瑞益纯债债券D,债券型-长债,MOGENRUIYICHUNZHAIZHAIQUAND,unknown,
021474,HASZKCBXYDXXJSETFFQSLJA,华安上证科创板新一代信息技术ETF发起式联接A,指数型-股票,HUAANSHANGZHENGKECHUANGBANXINYIDAIXINXIJISHUETFFAQISHILIANJIEA,unknown,
021475,HASZKCBXYDXXJSETFFQSLJC,华安上证科创板新一代信息技术ETF发起式联接C,指数型-股票,HUAANSHANGZHENGKECHUANGBANXINYIDAIXINXIJISHUETFFAQISHILIANJIEC,unknown,
021476,YHESGZTHHFQSA,银河ESG主题混合发起式A,混合型-偏股,YINHEESGZHUTIHUNHEFAQISHIA,unknown,
021477,YHESGZTHHFQSC,银河ESG主题混合发起式C,混合型-偏股,YINHEESGZHUTIHUNHEFAQISHIC,unknown,
021478,DFZQYXLHPZHHC,东方周期优选灵活配置混合C,混合型-灵活,DONGFANGZHOUQIYOUXUANLINGHUOPEIZHIHUNHEC,unknown,
021479,GLAWJHHC,国联安稳健混合C,混合型-灵活,GUOLIANANWENJIANHUNHEC,unknown,
021480,BSGZLTJDETFFQSLJA,博时国证龙头家电ETF发起式联接A,指数型-股票,BOSHIGUOZHENGLONGTOUJIADIANETFFAQISHILIANJIEA,unknown,
021481,BSGZLTJDETFFQSLJC,博时国证龙头家电ETF发起式联接C,指数型-股票,BOSHIGUOZHENGLONGTOUJIADIANETFFAQISHILIANJIEC,unknown,
021482,HXZZHLDBDETFFQSLJA,华夏中证红利低波动ETF发起式联接A,指数型-股票,HUAXIAZHONGZHENGHONGLIDIBODONGETFFAQISHILIANJIEA,unknown,
021483,HXZZHLDBDETFFQSLJC,华夏中证红利低波动ETF发起式联接C,指数型-股票,HUAXIAZHONGZHENGHONGLIDIBODONGETFFAQISHILIANJIEC,unknown,
021484,JSCCSZKCB50CFETFLJA,景顺长城上证科创板50成份ETF联接A,指数型-股票,JINGSHUNCHANGCHENGSHANGZHENGKECHUANGBAN50CHENGFENETFLIANJIEA,unknown,
021485,JSCCSZKCB50CFETFLJC,景顺长城上证科创板50成份ETF联接C,指数型-股票,JINGSHUNCHANGCHENGSHANGZHENGKECHUANGBAN50CHENGFENETFLIANJIEC,unknown,
021486,HXJFHHFOFD,华夏聚丰混合(FOF)D,FOF-稳健型,HUAXIAJUFENGHUNHEFOFD,unknown,
